,Date,PnL,LongsP,ShortsP,LongH,ShortH,LongD,ShortD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV,Sim
65,2016-10-17,1751954.1475031115,171120358.1275679,-157872380.90779787,4460471785.81706,-4322512697.923039,657924561.6501164,-725393831.8006556,878961124.6596782,-958288612.2995404,-7468259.778980598,7483903.192956546,1887373.2044558404,-1947082.3391202835,1
66,2016-10-18,5367152.595822336,201444703.20082915,-177673787.42894393,4841913131.111205,-4953818312.012936,911260088.9070292,-666551606.0675707,892137883.1020639,-986767610.8794909,-7772245.97304994,7753946.623895996,1453688.025240019,-1514795.777252375,1
67,2016-10-19,2595743.3596100397,223769149.09888607,-198353326.7521149,5106862819.578723,-5117715805.385022,674575166.2428894,-774676524.5535965,887067242.111037,-957513347.0525122,-7804287.163319051,7627245.714152688,968070.238377507,-987197.8215114782,1
68,2016-10-20,2045170.8559806652,214685980.75415865,-178606838.75367898,4563317021.685673,-4810844895.38653,1005053135.9239252,-776996396.8270961,867530236.3009443,-983011752.5547318,-7473313.236649524,7750146.086024177,467119.1054200907,-503492.34287218587,1
69,2016-10-21,-3407716.876872221,453662819.2973344,-430369503.29611385,5078186174.909897,-5071155348.565735,883282042.0691133,-960309343.8374596,729869435.7905607,-721685900.0561247,-6250000.0,6250000.0,10919512.402987467,-10935345.35462513,1
70,2016-10-24,1391991.8378475998,257525689.06793675,-258517215.89587528,5464306625.80241,-5473105014.07391,637298319.8247795,-619077572.4596498,753454241.861819,-754174417.6244401,-6455682.128780855,6467411.503968844,10072875.886159716,-10149412.99436864,1
71,2016-10-25,-484537.4330331462,221877714.4006446,-219846485.91613945,4917247902.702232,-4901129336.524076,782353225.2472861,-810777472.4424183,739098219.3086313,-746268646.895081,-6357775.512231005,6394171.474084705,9505685.986373164,-9643041.474677635,1
72,2016-10-26,-214048.32431004848,222177235.5579208,-210272213.2807752,4697682443.032621,-4704184949.474346,817517820.3961236,-804984589.8931935,706285659.7516153,-723676935.9569517,-6107012.693270985,6177784.22200981,8735527.281658087,-8946681.66735321,1
73,2016-10-27,-1082546.9345599925,211716562.44028696,-193105462.4058335,4256171891.8140335,-4387103220.707647,922070467.3516452,-805430269.5916239,670936375.3691196,-680032008.480015,-5918861.500209428,5855910.43801227,7999147.090527886,-8060988.065293509,1
74,2016-10-28,3463261.6505336314,208666932.56070173,-199380068.14557815,4390835363.506097,-4338298682.652596,597738800.7545111,-768419313.2317629,671272475.8085631,-680571432.0867112,-5925111.829573905,5857462.253204358,7660928.309356615,-7713226.723985479,1
75,2016-10-31,-2570887.025300918,214548641.5431077,-217119039.800105,4757334944.590508,-4587319224.602167,599374928.5241532,-707567592.0121727,696756088.5154738,-699489375.2973899,-6024226.1538790185,6008641.540172536,6760405.28658835,-6802230.400238816,1
76,2016-11-01,-3559954.9772790493,175020078.87473404,-172001584.26428673,4013969581.0038433,-3905554225.14057,900279965.2119389,-847828448.9315945,676525828.109206,-672295489.28125,-5792250.704020562,5754053.919867527,6150900.127027603,-6156868.030447753,1
77,2016-11-02,-105872.81379552536,146982543.80920333,-149179567.3561716,3583300167.050046,-3412378558.236397,756961363.6765254,-814357971.2832825,637710544.3462404,-636241635.7904354,-5413207.438546367,5430392.843950353,5437766.804370816,-5480999.951635937,1
78,2016-11-03,5278711.0052522365,154597697.82497633,-144919419.73990172,3519746600.047572,-3391516268.055732,688510959.7703614,-652416273.575342,626306200.534189,-627298715.0402548,-5243209.628487941,5254149.865612291,4965847.734405306,-5012190.945216868,1
79,2016-11-04,804198.9136902913,164455104.63313848,-148456998.59003296,3499652051.854513,-3469299483.016873,639789644.231021,-547427510.1211624,623859627.6796613,-614039102.7760415,-5319875.012911321,5256614.296167141,4673380.917183643,-4630168.860746389,1
80,2016-11-07,-1516280.6192493946,243278956.2690267,-235383918.51655805,4912098761.2925005,-4893721162.997902,1407484469.1570315,-1388922710.9426017,699384330.4249475,-653374879.0431437,-6077864.364455106,6018649.482210687,4176444.616026877,-4027696.1120521007,1
81,2016-11-08,-1551310.8092437307,262225501.22226936,-266525345.26586735,5279657715.445136,-5222025393.117344,640880068.7232893,-669491221.7696607,719673396.9536953,-634451969.3048332,-6193490.814826582,5934696.860827893,3886611.7534886342,-3589311.2660143506,1
82,2016-11-09,800097.3731102897,379906293.37515634,-368888140.9229144,5960603845.893622,-5995468182.620048,1554661157.4801772,-1476682397.5486884,605250682.3344464,-559246695.2487634,-5686268.808435488,5780727.473077067,3058223.3927095486,-2990664.5495021613,1
83,2016-11-10,-922066.96391958,453960173.5152608,-457234350.1693304,6199068794.576945,-6065048286.856946,1005927314.1766424,-1161441896.480676,491649068.2683255,-414557586.0691258,-5089270.749315172,4812810.745094013,2313266.8768072994,-2089826.485834681,1
84,2016-11-11,4681954.381852674,524718252.22614354,-508076836.8699121,6450740435.402609,-6349075847.530023,613210223.5558381,-596087941.3368723,476939640.3579402,-380229571.6485093,-4968884.79450514,4364223.193512451,1963796.8913122937,-1672504.354947165,1
85,2016-11-14,-4213975.108884292,599220225.6762056,-588411002.5807898,6700173458.348114,-6721544918.063968,761786549.1245404,-637132284.3841703,460305222.0890913,-344492011.7452954,-4792377.449510146,4054924.53436304,1072599.1242975693,-876238.6077997445,1
86,2016-11-15,934705.5088845948,628903453.324045,-604720982.7838488,6873470927.487888,-7024390124.093859,646740835.995076,-529631641.0408528,486043312.2875672,-383419396.58123386,-5047605.331787676,4578154.120308932,844641.4789809003,-737305.6296592127,1
87,2016-11-16,-170262.13919309957,611482411.471096,-585235734.0647337,6949453987.145429,-6958560228.604985,344577214.6684751,-488624638.8202499,491938431.461332,-421127918.2915906,-5161674.865810087,5051232.451815103,574261.0948707398,-540364.1546942485,1
88,2016-11-17,-767666.2177120328,657943795.9769002,-639103378.3664551,7247579106.593572,-7206355381.509586,497389538.1288205,-541080911.0941577,507157827.45254207,-374488577.4911617,-4888861.245556178,4531695.125793492,284454.5906752327,-242314.19840703515,1
89,2016-11-18,514963.6098863937,890264549.4768442,-880155855.7448721,4374923244.990511,-4494182610.961998,624111637.236195,-598533847.771071,553660737.3378699,-521766654.2153232,-6250000.0,6250000.0,9647259.164088173,-9384152.460239297,1
90,2016-11-21,20118.0850035717,263474197.1061075,-252568103.19440573,4634472689.474316,-4864776586.90277,548674930.1265571,-448512486.7609629,575558236.0756994,-542172051.4877956,-6504899.070550809,6527967.117377595,8958387.88575094,-8730579.338994045,1
91,2016-11-22,2324884.429956736,298621442.65518,-283435663.9480611,4984189467.941351,-5236129220.903029,636072086.2764397,-616391031.1086757,560325204.8103172,-534207387.3621403,-6417461.202733532,6493526.918106355,8431040.267259825,-8293560.353540293,1
92,2016-11-23,-1126311.720110422,322691969.1214775,-294929388.7591516,5120962335.875948,-5501601284.636557,534884650.5008979,-419888568.0772872,557927995.4146357,-537011986.910522,-6363228.859277073,6552782.121650825,8035585.727048194,-8004501.222477778,1
93,2016-11-25,354828.20445318794,338790172.11842084,-307100894.2127031,5408581149.023459,-5827300462.6012745,418003282.4104244,-383494786.9321557,564031291.7294471,-547325449.429309,-6459441.845242133,6699276.172301885,7430981.14106236,-7457066.378621117,1
